epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1951.07,0.16002,0.72047,0.91831,0.98776,0.99088,0.99433,0.99433,0.12911,0.31342,0.10425,0.00333268,0.00333268,0.00333268
2,5722.76,0.15805,0.39528,0.90364,0.98937,0.98973,0.99467,0.97682,0.20807,0.44962,0.14583,0.00622606,0.00622606,0.00622606
3,6722.2,0.14249,0.36251,0.90033,0.98415,0.97844,0.9947,0.99424,0.25188,0.45116,0.17927,0.00867943,0.00867943,0.00867943
4,7692.68,0.11182,0.32545,0.89462,0.98902,0.98788,0.99496,0.99462,0.21394,0.35135,0.15494,0.00802,0.00802,0.00802
5,8626.28,0.08757,0.28852,0.89113,0.9777,0.97527,0.99477,0.99371,0.17017,0.32079,0.12466,0.00736,0.00736,0.00736
6,9429.1,0.0602,0.10961,0.90246,0.98057,0.984,0.99458,0.88,0.38319,0.66861,0.23994,0.0067,0.0067,0.0067
7,10223.5,0.046,0.08914,0.89951,0.97248,0.97624,0.99459,0.88854,0.36813,0.68437,0.23225,0.00604,0.00604,0.00604
8,11261.5,0.03884,0.07994,0.89783,0.97324,0.97547,0.99461,0.91449,0.35893,0.6954,0.22422,0.00538,0.00538,0.00538
9,12221,0.03397,0.07166,0.89802,0.95339,0.97445,0.99459,0.93489,0.34748,0.71301,0.22326,0.00472,0.00472,0.00472
10,13070.2,0.02975,0.06695,0.89751,0.95416,0.9644,0.99456,0.92133,0.33985,0.72599,0.22001,0.00406,0.00406,0.00406
11,14024.2,0.02611,0.06192,0.89763,0.9483,0.96921,0.99445,0.91501,0.32928,0.71837,0.21574,0.0034,0.0034,0.0034
12,15020.9,0.02297,0.05618,0.89774,0.94653,0.96757,0.99348,0.90145,0.32846,0.72177,0.21507,0.00274,0.00274,0.00274
13,15918,0.01944,0.05074,0.89621,0.94579,0.96348,0.99435,0.90702,0.32664,0.73139,0.21363,0.00208,0.00208,0.00208
14,16764.9,0.01654,0.04629,0.89683,0.94044,0.96605,0.9945,0.91231,0.32368,0.73553,0.21178,0.00142,0.00142,0.00142
15,17764.2,inf,0.03983,0.89625,0.94477,0.9601,0.99452,0.91304,0.3209,0.73869,0.20997,0.00076,0.00076,0.00076
